Customer id,Recency,Frequency,Monetary,Cluster,Segment
C00144,274,5,15218.550000000001,0,High Value
C00145,365,1,4770.37,2,At Risk
C00146,222,5,6616.709999999999,1,Regular
C00147,89,3,12680.0,1,Regular
C00148,159,3,5198.88,1,Regular
C00149,100,5,11776.91,0,High Value
C00150,105,6,17658.32,0,High Value
C00151,248,6,19998.36,0,High Value
C00152,25,5,27989.190000000002,0,High Value
C00153,240,6,30339.46,0,High Value
C00154,57,1,350.24,3,New/Low Activity
C00155,4,4,9446.86,1,Regular
C00156,70,6,22037.72,0,High Value
C00157,109,4,11464.550000000001,1,Regular
C00158,6,7,19759.5,0,High Value
C00159,38,4,15390.03,0,High Value
C00160,375,2,5348.86,2,At Risk
C00161,59,5,7350.22,1,Regular
C00162,51,5,23019.920000000002,0,High Value
C00163,257,1,4702.58,3,New/Low Activity
C00164,212,4,10184.880000000001,1,Regular
C00165,77,4,7364.41,1,Regular
C00166,86,5,16841.82,0,High Value
C00167,290,3,14375.28,2,At Risk
C00168,2,7,17666.12,0,High Value
C00169,278,5,10607.36,1,Regular
C00170,601,1,6572.04,2,At Risk
C00171,121,6,16010.740000000002,0,High Value
C00172,117,3,15018.29,1,Regular
C00173,188,2,4675.360000000001,1,Regular
C00174,159,4,14590.25,1,Regular
C00175,29,4,20596.72,0,High Value
C00176,54,4,11328.83,1,Regular
C00177,23,6,21882.24,0,High Value
C00178,4,6,24300.79,0,High Value
C00179,150,6,14583.24,0,High Value
C00180,4,3,11646.7,1,Regular
C00181,40,3,11182.01,1,Regular
C00182,455,4,10129.779999999999,2,At Risk
C00183,66,2,1201.54,3,New/Low Activity
C00184,48,2,7832.93,1,Regular
C00185,143,4,15425.18,1,Regular
C00186,304,4,10025.82,2,At Risk
C00187,294,3,6333.13,2,At Risk
C00188,265,2,12594.27,2,At Risk
C00189,230,2,519.97,3,New/Low Activity
C00190,211,2,10382.34,1,Regular
C00191,23,4,9256.4,1,Regular
C00192,119,7,32373.440000000002,0,High Value
C00193,96,3,4972.51,1,Regular
C00194,17,4,17439.98,0,High Value
C00195,264,3,9720.19,2,At Risk
C00196,342,6,18102.54,0,High Value
C00197,53,3,6052.27,1,Regular
C00198,294,4,7376.26,2,At Risk
C00199,431,2,8670.74,2,At Risk
C00200,89,2,5795.67,1,Regular
C00201,385,2,12594.300000000001,2,At Risk
C00202,29,5,10218.37,0,High Value
C00203,83,5,24018.370000000003,0,High Value
C00204,3,5,11751.93,0,High Value
C00205,126,5,8601.4,1,Regular
C00206,50,7,25023.97,0,High Value
C00207,187,1,4263.83,3,New/Low Activity
C00208,86,5,14024.77,0,High Value
C00209,339,7,23191.41,0,High Value
C00210,81,5,12587.300000000001,0,High Value
C00211,92,5,18383.600000000002,0,High Value
C00212,272,2,5200.530000000001,2,At Risk
C00213,54,2,8594.04,1,Regular
C00214,138,3,9051.39,1,Regular
C00215,157,3,13771.45,1,Regular
C00216,23,2,5676.5599999999995,1,Regular
C00217,73,7,24199.59,0,High Value
C00218,137,5,21710.33,0,High Value
C00219,2,4,13376.310000000001,1,Regular
C00220,287,4,7288.26,2,At Risk
C00221,9,4,11652.16,1,Regular
C00222,274,5,21832.95,0,High Value
C00223,74,4,12828.11,1,Regular
C00224,167,5,14748.960000000001,0,High Value
C00225,30,7,32248.56,0,High Value
C00226,60,4,11903.81,1,Regular
C00227,59,5,9770.34,0,High Value
C00228,132,2,7805.49,1,Regular
C00229,126,8,26882.54,0,High Value
C00230,64,4,12346.24,1,Regular
C00231,12,4,10303.6,1,Regular
C00232,9,7,18489.08,0,High Value
C00233,183,3,12551.26,1,Regular
C00234,569,3,5079.530000000001,2,At Risk
C00235,35,5,14674.61,0,High Value
C00236,129,4,10374.69,1,Regular
C00237,30,5,11292.42,0,High Value
C00238,12,1,532.77,3,New/Low Activity
C00239,56,6,14262.050000000001,0,High Value
C00240,41,5,16997.74,0,High Value
C00241,63,6,13530.17,0,High Value
C00242,38,5,18378.010000000002,0,High Value
C00243,82,4,13103.24,1,Regular
C00244,278,2,6467.790000000001,2,At Risk
C00245,258,3,9271.82,1,Regular
C00246,296,4,14479.88,2,At Risk
C00247,33,3,10997.390000000001,1,Regular
C00248,118,2,4385.05,1,Regular
C00249,2,3,13749.970000000001,1,Regular
C00250,64,4,12872.84,1,Regular
C00251,243,2,5386.2,2,At Risk
C00252,406,2,5048.400000000001,2,At Risk
C00253,488,3,2132.23,2,At Risk
C00254,17,9,26542.47,0,High Value
C00255,324,2,7076.17,2,At Risk
C00256,299,3,9075.16,2,At Risk
C00257,2,6,9905.42,0,High Value
C00258,139,5,16352.51,0,High Value
C00259,176,4,7480.450000000001,1,Regular
C00260,44,5,24135.95,0,High Value
C00261,144,3,7405.62,1,Regular
C00262,278,3,4487.56,2,At Risk
C00263,69,4,13824.85,1,Regular
C00264,100,2,3081.23,1,Regular
C00265,9,4,13014.960000000001,1,Regular
C00266,153,3,7992.9,1,Regular
C00267,83,4,25846.52,0,High Value
C00268,431,4,19948.32,2,At Risk
C00269,168,4,16856.56,1,Regular
C00270,15,5,12858.31,0,High Value
C00271,251,8,26197.47,0,High Value
C00272,21,2,13251.170000000002,1,Regular
C00273,210,2,1269.91,3,New/Low Activity
C00274,280,2,258.58,3,New/Low Activity
C00275,313,1,109.63,3,New/Low Activity
C00277,146,4,9666.84,1,Regular
C00278,628,2,12738.300000000001,2,At Risk
C00279,119,5,19016.68,0,High Value
C00280,72,2,9920.77,1,Regular
C00281,82,4,16493.98,0,High Value
C00282,123,4,12071.19,1,Regular
C00283,494,3,6655.73,2,At Risk
C00284,219,3,10122.95,1,Regular
C00285,87,4,12544.710000000001,1,Regular
C00286,15,5,12695.76,0,High Value
C00287,163,1,2780.83,3,New/Low Activity
C00288,124,4,20594.54,0,High Value
C00289,26,5,19655.63,0,High Value
C00290,101,5,17602.739999999998,0,High Value
C00291,671,4,15938.960000000001,2,At Risk
C00292,134,2,7050.22,1,Regular
C00293,420,3,6973.719999999999,2,At Risk
C00294,410,4,14964.9,2,At Risk
C00295,367,2,8240.12,2,At Risk
C00296,42,1,8799.41,1,Regular
C00297,229,4,16317.77,1,Regular
C00298,3,3,6657.47,1,Regular
C00299,271,3,14945.490000000002,2,At Risk
C00300,55,6,15761.44,0,High Value
C00301,20,3,13274.82,1,Regular
C00302,113,6,16417.04,0,High Value
C00303,242,3,5743.400000000001,1,Regular
C00304,87,4,11482.14,1,Regular
C00305,33,5,14796.15,0,High Value
C00306,227,4,14309.77,1,Regular
C00307,169,6,22719.170000000002,0,High Value
C00308,4,7,11313.22,0,High Value
C00309,10,5,16667.08,0,High Value
C00310,87,6,18819.07,0,High Value
C00311,413,1,55.15,3,New/Low Activity
C00312,187,2,8104.280000000001,1,Regular
C00313,54,4,7970.39,1,Regular
C00314,423,2,8947.94,2,At Risk
C00315,517,1,2754.4900000000002,3,New/Low Activity
C00316,18,2,1261.02,3,New/Low Activity
C00317,164,2,6015.59,1,Regular
C00318,48,4,8812.1,1,Regular
C00320,34,3,11113.93,1,Regular
C00321,264,3,9355.23,2,At Risk
C00322,179,3,15772.42,1,Regular
C00323,43,7,24939.29,0,High Value
C00324,60,7,18099.08,0,High Value
C00325,125,6,16371.960000000001,0,High Value
C00326,86,8,32882.89,0,High Value
C00327,154,7,20631.48,0,High Value
C00328,74,6,27343.64,0,High Value
C00329,340,1,75.34,3,New/Low Activity
C00330,209,2,8221.77,1,Regular
C00331,53,4,9771.68,1,Regular
C00332,41,8,36253.75,0,High Value
C00333,190,4,9412.980000000001,1,Regular
C00334,38,3,6476.47,1,Regular
C00335,82,3,7938.610000000001,1,Regular
C00336,67,6,31984.96,0,High Value
C00337,294,1,7065.960000000001,2,At Risk
C00338,209,5,17638.780000000002,0,High Value
C00339,351,4,9856.46,2,At Risk
C00340,286,3,5636.42,2,At Risk
C00341,69,6,24299.56,0,High Value
C00342,366,4,8885.140000000001,2,At Risk
C00343,130,6,20318.36,0,High Value
C00344,241,2,2560.21,3,New/Low Activity
C00345,627,1,1831.8,3,New/Low Activity
C00346,7,8,29314.53,0,High Value
C00347,569,2,6041.09,2,At Risk
C00348,135,3,5562.33,1,Regular
C00349,18,5,16276.140000000001,0,High Value
C00350,313,4,13156.43,2,At Risk
C00351,78,3,10232.21,1,Regular
C00352,111,5,12918.23,0,High Value
C00353,21,5,13117.18,0,High Value
C00354,310,5,23743.940000000002,0,High Value
C00355,262,4,12362.54,1,Regular
C00356,68,4,18824.57,0,High Value
C00357,474,3,11887.53,2,At Risk
C00358,304,3,11595.480000000001,2,At Risk
C00359,478,3,17529.54,2,At Risk
C00360,83,5,18528.920000000002,0,High Value
C00361,164,6,20594.45,0,High Value
C00362,604,1,3929.3099999999995,2,At Risk
C00363,44,6,17313.989999999998,0,High Value
C00364,29,5,13768.93,0,High Value
C00365,275,3,9680.99,2,At Risk
C00366,474,2,8097.01,2,At Risk
C00367,37,5,13849.560000000001,0,High Value
C00368,135,4,14456.970000000001,1,Regular
C00369,263,2,2737.83,3,New/Low Activity
C00370,120,4,19835.06,0,High Value
C00371,107,2,6939.85,1,Regular
C00372,92,2,7487.17,1,Regular
C00373,81,2,6246.88,1,Regular
C00374,128,1,4406.91,3,New/Low Activity
C00375,176,8,39415.01,0,High Value
C00376,22,5,19669.63,0,High Value
C00377,307,3,8260.49,2,At Risk
C00378,71,4,18749.71,0,High Value
C00379,182,2,4844.34,1,Regular
C00380,14,5,12014.0,0,High Value
C00381,385,4,12306.060000000001,2,At Risk
C00382,301,4,9800.35,2,At Risk
C00383,33,3,12708.21,1,Regular
C00384,29,5,16269.58,0,High Value
C00385,65,2,3316.87,1,Regular
C00386,107,5,13154.73,0,High Value
C00387,354,3,7104.42,2,At Risk
C00388,707,1,189.15,3,New/Low Activity
C00389,170,4,11412.51,1,Regular
C00391,69,4,13917.71,1,Regular
C00392,113,5,16895.31,0,High Value
C00393,147,3,6652.26,1,Regular
C00394,160,2,6028.67,1,Regular
C00395,89,5,11285.15,0,High Value
C00396,305,3,9302.990000000002,2,At Risk
C00397,40,6,17023.53,0,High Value
C00398,5,5,19063.24,0,High Value
C00399,9,4,8814.35,1,Regular
C00400,36,3,10375.96,1,Regular
C00401,570,2,9130.11,2,At Risk
C00402,112,3,14804.26,1,Regular
C00403,6,3,14154.01,1,Regular
C00404,177,5,26993.99,0,High Value
C00405,174,3,13334.36,1,Regular
C00406,198,4,7814.290000000001,1,Regular
C00407,382,4,9540.210000000001,2,At Risk
C00408,258,2,6628.17,2,At Risk
C00409,158,6,23218.010000000002,0,High Value
C00410,106,6,19912.1,0,High Value
C00411,123,5,17758.55,0,High Value
C00412,140,5,10244.19,0,High Value
C00413,109,7,20443.31,0,High Value
C00414,132,3,4327.44,1,Regular
C00415,222,3,9167.92,1,Regular
C00416,23,5,12324.11,0,High Value
C00417,124,2,10460.210000000001,1,Regular
C00418,344,7,26171.63,0,High Value
C00419,185,4,16702.63,1,Regular
C00420,386,2,12338.84,2,At Risk
C00421,85,2,504.8,3,New/Low Activity
C00422,350,2,7266.110000000001,2,At Risk
C00423,2,5,17076.95,0,High Value
C00424,55,7,21363.940000000002,0,High Value
C00425,80,9,26879.780000000002,0,High Value
C00426,50,4,17745.43,0,High Value
C00427,513,2,6988.77,2,At Risk
C00428,316,2,11118.91,2,At Risk
C00429,32,5,9742.57,0,High Value
C00430,77,3,11654.62,1,Regular
C00431,89,2,4464.610000000001,1,Regular
C00432,202,4,14430.17,1,Regular
C00433,123,4,8518.34,1,Regular
C00434,30,4,18943.79,0,High Value
C00435,350,2,7262.160000000001,2,At Risk
C00436,87,4,14302.78,1,Regular
C00437,279,5,10943.69,1,Regular
C00438,6,8,19088.100000000002,0,High Value
C00439,26,2,7965.76,1,Regular
C00440,427,2,7042.66,2,At Risk
C00441,2,6,16196.94,0,High Value
C00442,93,4,15345.24,1,Regular
C00443,171,3,5631.0599999999995,1,Regular
C00444,5,7,17448.77,0,High Value
C00445,10,6,18277.05,0,High Value
C00446,502,2,1447.0900000000001,3,New/Low Activity
C00447,203,3,15692.15,1,Regular
C00448,156,3,9593.53,1,Regular
C00450,324,2,6350.39,2,At Risk
C00451,15,1,465.8,3,New/Low Activity
C00452,108,5,10636.61,0,High Value
C00453,59,3,14166.34,1,Regular
C00454,295,2,5263.83,2,At Risk
C00455,138,3,7242.18,1,Regular
C00456,96,4,14408.94,1,Regular
C00457,2,4,9061.01,1,Regular
C00458,534,2,4431.74,2,At Risk
C00459,47,3,8728.6,1,Regular
C00460,4,6,16653.78,0,High Value
C00461,10,5,19776.09,0,High Value
C00462,64,9,29834.010000000002,0,High Value
C00463,11,4,10556.26,1,Regular
C00464,210,2,4950.28,1,Regular
C00465,272,1,3363.25,3,New/Low Activity
C00466,20,4,25580.920000000002,0,High Value
C00467,448,4,6649.150000000001,2,At Risk
C00468,268,1,144.9,3,New/Low Activity
C00469,488,3,7840.990000000001,2,At Risk
C00470,1,5,13553.42,0,High Value
C00471,42,3,8275.81,1,Regular
C00472,282,4,4219.13,2,At Risk
C00473,136,1,4372.46,3,New/Low Activity
C00474,220,3,10678.75,1,Regular
C00475,362,2,10421.48,2,At Risk
C00476,66,5,15672.04,0,High Value
C00477,342,1,4576.17,2,At Risk
C00478,154,3,19022.09,1,Regular
C00479,273,2,5732.12,2,At Risk
C00480,36,7,22752.670000000002,0,High Value
C00481,206,5,12685.37,0,High Value
C00482,25,7,24849.670000000002,0,High Value
C00483,595,1,4263.83,2,At Risk
C00484,71,2,10984.5,1,Regular
C00485,441,3,9651.02,2,At Risk
C00486,141,5,8756.26,1,Regular
C00487,69,6,28942.920000000002,0,High Value
C00488,420,1,4736.9400000000005,2,At Risk
C00489,17,2,9010.3,1,Regular
C00490,12,12,39067.03,0,High Value
C00491,312,5,13669.92,2,At Risk
C00492,45,10,31913.41,0,High Value
C00493,0,6,20162.24,0,High Value
C00494,155,5,24101.68,0,High Value
C00495,573,2,7882.650000000001,2,At Risk
C00496,87,5,14312.06,0,High Value
C00497,368,2,5350.75,2,At Risk
C00498,111,4,5587.67,1,Regular
C00499,60,4,2588.14,1,Regular
C00500,215,4,11362.47,1,Regular
C00501,144,8,26781.01,0,High Value
C00502,262,5,29951.0,0,High Value
C00503,46,4,10978.84,1,Regular
C00504,218,3,10194.87,1,Regular
C00505,201,2,4777.5,1,Regular
C00506,110,5,13530.710000000001,0,High Value
C00507,3,5,13113.17,0,High Value
C00508,251,2,9081.92,2,At Risk
C00509,167,5,11861.92,0,High Value
C00510,206,3,10993.66,1,Regular
C00511,101,4,12546.26,1,Regular
C00512,306,4,14783.58,2,At Risk
C00513,316,5,11502.81,2,At Risk
C00514,38,5,14295.43,0,High Value
C00515,127,6,18322.32,0,High Value
C00516,30,6,10629.58,0,High Value
C00517,239,4,9678.74,1,Regular
C00518,25,5,25178.84,0,High Value
C00519,120,2,5578.99,1,Regular
C00520,349,5,14632.04,2,At Risk
C00521,392,3,9566.56,2,At Risk
C00522,257,4,13311.960000000001,1,Regular
C00523,140,2,7372.87,1,Regular
C00524,22,6,26003.89,0,High Value
C00525,557,2,10488.18,2,At Risk
C00526,560,4,10286.11,2,At Risk
C00527,49,2,9334.99,1,Regular
C00528,37,4,10172.29,1,Regular
C00529,450,2,7984.04,2,At Risk
C00530,9,2,6660.66,1,Regular
C00531,540,1,4263.83,2,At Risk
C00532,53,9,33078.12,0,High Value
C00533,104,6,20833.99,0,High Value
C00534,220,2,9088.23,1,Regular
C00535,8,5,10296.99,0,High Value
C00536,51,4,7029.63,1,Regular
C00537,62,6,27155.63,0,High Value
C00538,132,5,22082.24,0,High Value
C00539,0,3,10284.03,1,Regular
C00540,186,3,8638.710000000001,1,Regular
C00542,353,2,4403.75,2,At Risk
C00543,38,5,16682.170000000002,0,High Value
C00544,93,4,16515.36,0,High Value
C00545,142,5,14024.04,0,High Value
C00546,232,3,9281.86,1,Regular
C00547,308,2,4342.4400000000005,2,At Risk
C00548,1,7,18100.16,0,High Value
C00549,9,5,11589.08,0,High Value
C00550,117,4,9092.03,1,Regular
C00551,13,7,12648.54,0,High Value
C00552,302,4,13387.53,2,At Risk
C00553,30,3,12613.62,1,Regular
C00554,156,7,28459.27,0,High Value
C00555,449,2,7206.63,2,At Risk
C00556,11,4,9038.92,1,Regular
C00557,369,2,3663.83,2,At Risk
C00558,139,6,15777.66,0,High Value
C00559,213,5,16996.53,0,High Value
C00560,658,1,4687.28,2,At Risk
C00561,9,3,4780.28,1,Regular
C00562,42,6,5193.62,1,Regular
C00563,437,3,19688.13,2,At Risk
C00564,36,4,16904.65,0,High Value
C00565,227,4,14555.58,1,Regular
C00566,501,2,8672.1,2,At Risk
C00567,94,5,16283.210000000001,0,High Value
C00568,6,5,12981.64,0,High Value
C00569,208,4,14855.230000000001,1,Regular
C00570,261,2,8676.14,2,At Risk
C00571,134,5,5624.21,1,Regular
C00572,39,1,1581.24,3,New/Low Activity
C00573,70,6,23130.79,0,High Value
C00574,145,5,12629.44,0,High Value
C00575,657,2,7072.67,2,At Risk
C00576,59,7,25822.870000000003,0,High Value
C00577,9,6,17195.07,0,High Value
C00578,248,3,5745.81,1,Regular
C00579,60,4,12047.53,1,Regular
C00580,72,3,7301.58,1,Regular
C00581,163,3,6548.32,1,Regular
C00582,84,4,17590.14,0,High Value
C00583,38,8,22041.33,0,High Value
C00584,46,6,19004.88,0,High Value
C00585,102,6,13556.26,0,High Value
C00586,0,6,21036.54,0,High Value
C00587,114,2,9601.15,1,Regular
C00588,147,3,7123.32,1,Regular
C00590,418,4,12444.91,2,At Risk
C00591,289,5,14720.51,0,High Value
C00592,629,1,2569.95,3,New/Low Activity
C00593,26,2,8794.25,1,Regular
C00594,30,3,3757.87,1,Regular
C00595,427,3,7164.11,2,At Risk
C00596,26,6,16944.600000000002,0,High Value
C00597,452,2,4232.56,2,At Risk
C00598,336,5,16048.91,2,At Risk
C00599,99,2,4897.06,1,Regular
C00600,290,3,9680.220000000001,2,At Risk
C00601,80,4,18671.33,0,High Value
C00602,15,2,9125.28,1,Regular
C00603,15,4,7776.370000000001,1,Regular
C00604,140,4,17044.99,0,High Value
C00605,242,2,6806.62,2,At Risk
C00606,93,2,9004.75,1,Regular
C00608,56,4,13711.61,1,Regular
C00609,153,3,15917.08,1,Regular
C00610,14,5,18080.22,0,High Value
C00611,148,3,12035.150000000001,1,Regular
C00612,155,9,33284.74,0,High Value
C00613,205,6,22228.65,0,High Value
C00614,81,2,10471.36,1,Regular
C00615,573,1,4644.78,2,At Risk
C00616,362,8,28260.64,0,High Value
C00617,29,11,26599.45,0,High Value
C00618,41,3,10796.640000000001,1,Regular
C00619,641,3,15742.11,2,At Risk
C00620,132,3,11776.64,1,Regular
C00621,54,4,11035.83,1,Regular
C00622,84,4,13455.67,1,Regular
C00623,313,3,9715.25,2,At Risk
C00624,17,10,22862.71,0,High Value
C00625,324,2,1967.0,3,New/Low Activity
C00626,205,1,1707.15,3,New/Low Activity
C00627,70,4,12847.2,1,Regular
C00628,370,4,14650.44,2,At Risk
C00629,214,6,18908.010000000002,0,High Value
C00630,129,2,5850.33,1,Regular
C00631,177,3,11266.15,1,Regular
C00632,140,6,21308.64,0,High Value
C00633,279,3,15552.07,2,At Risk
C00634,48,7,26000.48,0,High Value
C00635,706,2,8829.960000000001,2,At Risk
C00636,36,5,11105.43,0,High Value
C00637,230,2,8339.369999999999,1,Regular
C00638,41,3,7227.16,1,Regular
C00639,85,4,8429.18,1,Regular
C00640,631,3,5127.34,2,At Risk
C00641,277,2,10684.210000000001,2,At Risk
C00642,19,3,12327.75,1,Regular
C00643,177,4,16905.600000000002,1,Regular
C00644,185,4,19368.440000000002,0,High Value
C00645,424,2,8118.5,2,At Risk
C00646,166,4,10202.23,1,Regular
C00647,290,2,6083.73,2,At Risk
C00648,388,3,11553.560000000001,2,At Risk
C00649,79,7,26727.440000000002,0,High Value
C00651,104,9,25616.79,0,High Value
C00652,358,3,6271.96,2,At Risk
C00653,3,6,19345.13,0,High Value
C00654,16,5,14529.26,0,High Value
C00655,77,6,19290.21,0,High Value
C00656,84,6,19196.09,0,High Value
C00657,171,6,15806.45,0,High Value
C00658,335,3,16184.000000000002,2,At Risk
C00659,124,4,8522.470000000001,1,Regular
C00660,458,1,146.43,3,New/Low Activity
C00661,67,5,18783.68,0,High Value
C00662,207,4,20347.23,0,High Value
C00663,264,2,5726.820000000001,2,At Risk
C00664,61,4,15013.27,1,Regular
C00665,1,7,17314.49,0,High Value
C00666,207,9,29873.620000000003,0,High Value
C00667,313,8,27097.96,0,High Value
C00668,205,3,9603.89,1,Regular
C00669,280,3,7806.46,2,At Risk
C00670,136,4,13198.49,1,Regular
C00671,74,6,22387.920000000002,0,High Value
C00672,141,4,14508.460000000001,1,Regular
C00673,9,3,12190.08,1,Regular
C00674,15,3,3704.94,1,Regular
C00676,22,3,10184.91,1,Regular
C00677,35,1,4263.83,1,Regular
C00678,100,4,16826.88,0,High Value
C00679,399,3,18797.96,2,At Risk
C00680,107,6,21043.27,0,High Value
C00681,82,6,13159.91,0,High Value
C00682,437,2,3826.2,2,At Risk
C00683,17,8,26938.41,0,High Value
C00684,527,1,2461.57,3,New/Low Activity
C00685,80,3,9882.84,1,Regular
C00686,64,4,14436.470000000001,1,Regular
C00687,264,5,12101.45,0,High Value
C00688,79,2,9636.87,1,Regular
C00689,27,5,13031.62,0,High Value
C00690,11,10,29493.25,0,High Value
C00691,56,3,12564.8,1,Regular
C00692,35,5,21952.010000000002,0,High Value
C00693,192,2,8011.09,1,Regular
C00694,404,2,4571.150000000001,2,At Risk
C00695,192,3,11428.7,1,Regular
C00696,200,3,15055.86,1,Regular
C00697,259,3,8698.29,2,At Risk
C00698,472,2,1204.41,3,New/Low Activity
C00699,152,3,12516.01,1,Regular
C00700,359,2,9116.23,2,At Risk
C00702,89,6,19221.59,0,High Value
C00703,162,2,6539.650000000001,1,Regular
C00704,60,2,5130.45,1,Regular
C00705,34,5,14121.42,0,High Value
C00706,355,6,30150.15,0,High Value
C00707,351,1,2441.41,3,New/Low Activity
