Customer id,Gender,Age,Payment method
C00359,F,30,Mobile Payment
C00360,F,62,Credit Card
C00361,M,31,Credit Card
C00362,M,69,Mobile Payment
C00363,M,32,Credit Card
C00364,M,57,Credit Card
C00365,M,28,Credit Card
C00366,F,30,Credit Card
C00367,F,27,Cash
C00368,M,55,Mobile Payment
C00369,M,57,Mobile Payment
C00370,M,36,Credit Card
C00371,F,27,Credit Card
C00372,F,37,Credit Card
C00373,M,33,Mobile Payment
C00374,M,51,Cash
C00375,F,48,Cash
C00376,F,29,Mobile Payment
C00377,M,48,Credit Card
C00378,M,33,Credit Card
C00379,F,32,Credit Card
C00380,M,21,Credit Card
C00381,F,52,Cash
C00382,M,70,Mobile Payment
C00383,F,56,Mobile Payment
C00384,F,65,Credit Card
C00385,M,69,Cash
C00386,M,27,Credit Card
C00387,F,41,Cash
C00388,F,25,Cash
C00389,M,62,Credit Card
C00390,F,27,Credit Card
C00391,F,30,Credit Card
C00392,M,21,Credit Card
C00393,F,31,Credit Card
C00394,M,63,Credit Card
C00395,M,21,Credit Card
C00396,F,49,Credit Card
C00397,F,43,Credit Card
C00398,F,37,Credit Card
C00399,F,62,Credit Card
C00400,F,36,Mobile Payment
C00401,F,33,Mobile Payment
C00402,M,63,Cash
C00403,F,43,Mobile Payment
C00404,F,55,Mobile Payment
C00405,M,43,Mobile Payment
C00406,F,64,Cash
C00407,F,41,Mobile Payment
C00408,F,46,Cash
C00409,M,61,Mobile Payment
C00410,F,64,Credit Card
C00411,M,69,Cash
C00412,F,52,Mobile Payment
C00413,F,31,Credit Card
C00414,F,62,Cash
C00415,F,47,Cash
C00416,F,27,Credit Card
C00417,M,56,Mobile Payment
C00418,M,23,Credit Card
C00419,M,22,Credit Card
C00420,F,48,Credit Card
C00421,F,33,Mobile Payment
C00422,M,41,Credit Card
C00423,F,37,Credit Card
C00424,M,30,Cash
C00425,F,65,Cash
C00426,M,37,Credit Card
C00427,F,72,Cash
C00428,M,69,Cash
C00429,M,47,Mobile Payment
C00430,F,66,Mobile Payment
C00431,M,30,Credit Card
C00432,M,47,Mobile Payment
C00433,F,68,Mobile Payment
C00434,F,28,Credit Card
C00435,F,63,Cash
C00436,F,50,Credit Card
C00437,M,40,Credit Card
C00438,F,38,Credit Card
C00439,F,37,Cash
C00440,F,21,Credit Card
C00441,F,43,Credit Card
C00442,F,40,Mobile Payment
C00443,M,70,Cash
C00444,M,67,Credit Card
C00445,F,72,Credit Card
C00446,F,58,Credit Card
C00447,F,36,Mobile Payment
C00448,F,69,Mobile Payment
C00449,M,20,Credit Card
C00450,F,52,Mobile Payment
C00451,M,29,Credit Card
C00452,F,67,Credit Card
C00453,F,69,Mobile Payment
C00454,M,52,Credit Card
C00455,M,42,Credit Card
C00456,F,48,Mobile Payment
C00457,M,31,Credit Card
C00458,F,67,Mobile Payment
C00459,M,67,Cash
C00460,F,41,Mobile Payment
C00461,F,31,Credit Card
C00462,F,22,Mobile Payment
C00463,F,61,Credit Card
C00464,M,26,Mobile Payment
C00465,M,51,Cash
C00466,F,43,Credit Card
C00467,M,49,Credit Card
C00468,M,63,Mobile Payment
C00469,F,21,Mobile Payment
C00470,F,39,Credit Card
C00471,M,60,Mobile Payment
C00472,M,20,Mobile Payment
C00473,F,59,Credit Card
C00474,M,30,Mobile Payment
C00475,M,32,Credit Card
C00476,F,37,Cash
C00477,F,47,Mobile Payment
C00478,F,59,Credit Card
C00479,F,63,Credit Card
C00480,M,28,Credit Card
C00481,F,66,Mobile Payment
C00482,M,44,Mobile Payment
C00483,M,30,Mobile Payment
C00484,M,65,Credit Card
C00485,M,34,Credit Card
C00486,F,43,Mobile Payment
C00487,M,27,Credit Card
C00488,M,67,Credit Card
C00489,M,37,Cash
C00490,M,60,Mobile Payment
C00491,M,60,Credit Card
C00492,F,57,Credit Card
C00493,M,40,Cash
C00494,M,65,Mobile Payment
C00495,F,25,Cash
C00496,M,38,Credit Card
C00497,M,33,Credit Card
C00498,M,55,Credit Card
C00499,F,39,Cash
C00500,F,55,Mobile Payment
C00501,F,58,Cash
C00502,F,42,Cash
C00503,F,70,Cash
C00504,M,30,Credit Card
C00505,M,51,Mobile Payment
C00506,M,52,Credit Card
C00507,F,68,Credit Card
C00508,M,56,Cash
C00509,F,72,Credit Card
C00510,F,38,Credit Card
C00511,M,52,Credit Card
C00512,M,69,Credit Card
C00513,F,54,Credit Card
C00514,M,34,Mobile Payment
C00515,M,39,Cash
C00516,M,44,Cash
C00517,M,52,Credit Card
C00518,M,29,Credit Card
C00519,F,44,Credit Card
C00520,F,53,Cash
C00521,M,60,Credit Card
C00522,M,22,Mobile Payment
C00523,F,55,Mobile Payment
C00524,F,52,Credit Card
C00525,F,43,Mobile Payment
C00526,M,72,Cash
C00527,F,72,Cash
C00528,F,22,Credit Card
C00529,M,40,Cash
C00530,M,58,Mobile Payment
C00531,M,25,Cash
C00532,M,36,Mobile Payment
C00533,M,54,Credit Card
C00534,M,38,Mobile Payment
C00535,M,68,Mobile Payment
C00536,F,54,Mobile Payment
C00537,F,68,Credit Card
C00538,F,62,Mobile Payment
C00539,F,67,Mobile Payment
C00540,F,64,Credit Card
C00541,F,34,Credit Card
C00542,F,40,Mobile Payment
C00543,M,37,Credit Card
C00544,M,56,Mobile Payment
C00545,F,62,Mobile Payment
C00546,F,58,Cash
C00547,F,63,Credit Card
C00548,F,50,Credit Card
C00549,M,66,Credit Card
C00550,M,56,Credit Card
C00551,M,33,Credit Card
C00552,M,58,Mobile Payment
C00553,F,49,Mobile Payment
C00554,M,59,Mobile Payment
C00555,M,48,Mobile Payment
C00556,F,21,Cash
C00557,M,59,Credit Card
C00558,F,22,Mobile Payment
C00559,M,64,Credit Card
C00560,M,41,Credit Card
C00561,M,65,Credit Card
C00562,M,64,Credit Card
C00563,F,66,Cash
C00564,M,21,Mobile Payment
C00565,M,60,Credit Card
C00566,F,42,Mobile Payment
C00567,M,21,Credit Card
C00568,F,43,Mobile Payment
C00569,M,39,Mobile Payment
C00570,M,54,Mobile Payment
C00571,F,70,Mobile Payment
C00572,M,37,Mobile Payment
C00573,M,35,Credit Card
C00574,F,69,Cash
C00575,M,71,Credit Card
C00576,M,33,Cash
C00577,F,47,Credit Card
C00578,F,42,Credit Card
C00579,M,55,Credit Card
C00580,F,21,Mobile Payment
C00581,F,65,Credit Card
C00582,F,47,Credit Card
C00583,M,60,Cash
C00584,F,24,Cash
C00585,F,38,Credit Card
C00586,M,60,Credit Card
C00587,M,69,Mobile Payment
C00588,M,26,Mobile Payment
C00589,F,46,Credit Card
C00590,M,71,Cash
C00591,M,22,Credit Card
C00592,F,28,Credit Card
C00593,F,48,Credit Card
C00594,M,44,Credit Card
C00595,F,32,Credit Card
C00596,F,43,Credit Card
C00597,M,25,Mobile Payment
C00598,M,37,Cash
C00599,M,42,Cash
C00600,M,45,Credit Card
C00601,M,49,Mobile Payment
C00602,M,44,Mobile Payment
C00603,M,46,Credit Card
C00604,F,53,Mobile Payment
C00605,M,32,Mobile Payment
C00606,M,25,Credit Card
C00607,M,38,Mobile Payment
C00608,F,28,Mobile Payment
C00609,M,23,Cash
C00610,M,38,Credit Card
C00611,M,37,Mobile Payment
C00612,F,45,Mobile Payment
C00613,M,29,Mobile Payment
C00614,M,27,Cash
C00615,M,27,Credit Card
C00616,M,60,Mobile Payment
C00617,M,50,Credit Card
C00618,F,33,Credit Card
C00619,F,46,Credit Card
C00620,M,59,Mobile Payment
C00621,F,35,Credit Card
C00622,F,29,Credit Card
C00623,M,60,Credit Card
C00624,F,22,Mobile Payment
C00625,F,29,Credit Card
C00626,M,41,Mobile Payment
C00627,M,43,Credit Card
C00628,M,68,Credit Card
C00629,M,25,Credit Card
C00630,M,72,Mobile Payment
C00631,F,52,Mobile Payment
C00632,M,50,Mobile Payment
C00633,M,50,Credit Card
C00634,F,71,Credit Card
C00635,M,66,Credit Card
C00636,M,30,Credit Card
C00637,F,46,Credit Card
C00638,M,69,Mobile Payment
C00639,M,49,Credit Card
C00640,F,41,Mobile Payment
C00641,M,65,Credit Card
C00642,M,27,Mobile Payment
C00643,F,64,Mobile Payment
C00644,M,42,Mobile Payment
C00645,M,51,Mobile Payment
C00646,F,44,Mobile Payment
C00647,F,43,Credit Card
C00648,M,25,Cash
C00649,M,58,Credit Card
C00650,M,50,Credit Card
C00651,M,55,Mobile Payment
C00652,F,70,Cash
C00653,F,54,Credit Card
C00654,F,59,Mobile Payment
C00655,M,46,Mobile Payment
C00656,F,59,Credit Card
C00657,F,33,Credit Card
C00658,M,33,Credit Card
C00659,F,58,Credit Card
C00660,F,31,Mobile Payment
C00661,M,23,Mobile Payment
C00662,M,65,Credit Card
C00663,F,60,Mobile Payment
C00664,F,69,Cash
C00665,F,25,Credit Card
C00666,M,62,Credit Card
C00667,M,68,Mobile Payment
C00668,F,57,Credit Card
C00669,F,67,Credit Card
C00670,F,51,Credit Card
C00671,M,43,Mobile Payment
C00672,F,32,Mobile Payment
C00673,M,24,Credit Card
C00674,F,44,Credit Card
C00675,M,66,Credit Card
C00676,M,62,Mobile Payment
C00677,M,71,Cash
C00678,M,66,Cash
C00679,F,30,Mobile Payment
C00680,F,27,Cash
C00681,M,46,Mobile Payment
C00682,M,50,Cash
C00683,M,68,Cash
C00684,F,40,Mobile Payment
C00685,F,27,Mobile Payment
C00686,M,58,Mobile Payment
C00687,F,35,Mobile Payment
C00688,F,24,Cash
C00689,F,64,Credit Card
C00690,M,65,Cash
C00691,M,42,Mobile Payment
C00692,M,54,Cash
C00693,M,23,Credit Card
C00694,M,29,Credit Card
C00695,F,35,Mobile Payment
C00696,M,32,Mobile Payment
C00697,F,44,Credit Card
C00698,F,25,Cash
C00699,M,47,Mobile Payment
C00700,F,39,Mobile Payment
C00701,M,64,Credit Card
C00702,F,69,Credit Card
C00703,M,44,Cash
C00704,F,66,Cash
C00705,M,22,Mobile Payment
C00706,M,72,Mobile Payment
C00707,M,40,Cash
C00708,F,27,Mobile Payment
C00709,F,42,Mobile Payment
C00710,F,47,Credit Card
C00711,M,55,Credit Card
C00712,M,24,Credit Card
C00713,F,44,Credit Card
C00714,M,43,Cash
C00715,M,23,Cash
C00716,M,59,Credit Card
C00717,F,22,Credit Card
C00718,F,45,Credit Card
C00719,F,20,Mobile Payment
C00720,M,36,Mobile Payment
C00721,M,37,Mobile Payment
C00722,F,62,Credit Card
C00723,M,33,Credit Card
C00724,F,70,Mobile Payment
C00725,F,38,Cash
C00726,F,33,Mobile Payment
C00727,F,32,Credit Card
C00728,M,25,Mobile Payment
C00729,M,33,Mobile Payment
C00730,M,59,Credit Card
C00731,F,23,Mobile Payment
C00732,F,40,Mobile Payment
C00733,M,43,Mobile Payment
C00734,F,44,Credit Card
C00735,M,56,Mobile Payment
C00736,F,57,Mobile Payment
C00737,M,31,Credit Card
C00738,F,31,Credit Card
C00739,F,60,Cash
C00740,M,37,Credit Card
C00741,M,24,Credit Card
C00742,M,40,Credit Card
C00743,M,49,Credit Card
C00744,M,57,Credit Card
C00745,F,27,Mobile Payment
C00746,M,53,Credit Card
C00747,F,36,Credit Card
C00748,F,67,Credit Card
C00749,F,71,Credit Card
C00750,M,30,Credit Card
C00751,M,42,Credit Card
C00752,M,31,Mobile Payment
C00753,M,70,Mobile Payment
C00754,M,65,Mobile Payment
C00755,F,23,Credit Card
C00756,M,48,Credit Card
C00757,F,72,Mobile Payment
C00758,M,29,Credit Card
C00759,M,22,Cash
C00760,F,28,Credit Card
C00761,M,45,Credit Card
C00762,F,34,Cash
C00763,F,23,Credit Card
C00764,M,56,Mobile Payment
C00765,F,39,Mobile Payment
C00766,M,28,Cash
C00767,M,42,Credit Card
C00768,M,61,Credit Card
C00769,F,62,Mobile Payment
C00770,M,30,Credit Card
C00771,F,44,Credit Card
C00772,M,61,Mobile Payment
C00773,F,72,Cash
C00774,M,34,Credit Card
C00775,M,71,Credit Card
C00776,F,57,Credit Card
C00777,F,56,Mobile Payment
C00778,M,64,Credit Card
C00779,F,24,Credit Card
C00780,M,50,Cash
C00781,M,35,Cash
C00782,F,21,Mobile Payment
C00783,F,20,Cash
C00784,F,58,Cash
C00785,F,69,Cash
C00786,F,43,Credit Card
C00787,M,45,Mobile Payment
C00788,F,64,Credit Card
C00789,M,51,Credit Card
C00790,F,30,Mobile Payment
C00791,F,58,Credit Card
C00792,M,35,Mobile Payment
C00793,M,47,Cash
C00794,F,48,Credit Card
C00795,F,72,Credit Card
C00796,M,62,Mobile Payment
C00797,F,62,Mobile Payment
C00798,M,21,Credit Card
C00799,F,44,Credit Card
C00800,F,43,Credit Card
C00801,M,61,Mobile Payment
C00802,F,52,Mobile Payment
C00803,F,32,Credit Card
C00804,M,41,Mobile Payment
C00805,F,62,Mobile Payment
C00806,M,25,Credit Card
C00807,F,31,Credit Card
C00808,M,68,Credit Card
C00809,F,69,Mobile Payment
C00810,M,34,Credit Card
C00811,M,53,Cash
C00812,M,32,Mobile Payment
C00813,M,45,Mobile Payment
C00814,M,23,Mobile Payment
C00815,M,60,Credit Card
C00816,F,45,Mobile Payment
C00817,F,64,Credit Card
C00818,M,66,Cash
C00819,M,21,Mobile Payment
C00820,M,38,Mobile Payment
C00821,F,35,Credit Card
C00822,M,69,Credit Card
C00823,M,30,Mobile Payment
C00824,F,39,Credit Card
C00825,F,30,Credit Card
C00826,M,36,Credit Card
C00827,F,49,Cash
C00828,F,44,Credit Card
C00829,M,67,Credit Card
C00830,M,28,Credit Card
C00831,F,70,Credit Card
C00832,M,69,Cash
C00833,M,72,Credit Card
C00834,M,21,Credit Card
C00835,F,32,Mobile Payment
C00836,M,70,Mobile Payment
C00837,M,65,Mobile Payment
C00838,F,50,Cash
C00839,M,52,Mobile Payment
C00840,F,49,Mobile Payment
C00841,F,33,Mobile Payment
C00842,F,62,Mobile Payment
C00843,M,63,Mobile Payment
C00844,F,25,Credit Card
C00845,F,48,Credit Card
C00846,M,66,Credit Card
C00847,M,41,Mobile Payment
C00848,F,30,Mobile Payment
C00849,F,56,Mobile Payment
C00850,M,24,Credit Card
C00851,F,30,Cash
C00852,M,43,Mobile Payment
C00853,M,59,Credit Card
C00854,M,63,Mobile Payment
C00855,F,31,Credit Card
C00856,F,67,Credit Card
C00857,M,63,Credit Card
C00858,F,70,Credit Card
C00859,M,58,Cash
C00860,M,54,Cash
C00861,M,58,Mobile Payment
C00862,M,49,Credit Card
C00863,F,52,Credit Card
C00864,M,32,Mobile Payment
C00865,F,23,Cash
C00866,M,53,Credit Card
C00867,F,57,Credit Card
C00868,M,32,Mobile Payment
C00869,M,30,Credit Card
C00870,M,44,Mobile Payment
C00871,M,23,Credit Card
C00872,F,52,Cash
C00873,F,31,Mobile Payment
C00874,F,45,Credit Card
C00875,M,54,Mobile Payment
C00876,F,48,Mobile Payment
C00877,M,30,Mobile Payment
C00878,M,53,Credit Card
C00879,M,71,Mobile Payment
C00880,M,47,Credit Card
C00881,F,42,Credit Card
C00882,M,23,Mobile Payment
C00883,M,38,Credit Card
C00884,M,52,Cash
C00885,M,60,Mobile Payment
C00886,F,23,Mobile Payment
C00887,M,63,Credit Card
C00888,M,44,Credit Card
C00889,M,29,Credit Card
C00890,M,61,Credit Card
C00891,M,25,Mobile Payment
C00892,F,29,Cash
C00893,F,43,Mobile Payment
C00894,M,31,Credit Card
C00895,F,22,Credit Card
C00896,M,62,Cash
C00897,M,62,Mobile Payment
C00898,M,59,Mobile Payment
C00899,F,39,Credit Card
C00900,F,55,Credit Card
C00901,M,56,Credit Card
C00902,M,32,Mobile Payment
C00903,M,21,Credit Card
C00904,F,20,Cash
C00905,F,26,Cash
C00906,M,61,Cash
C00907,M,34,Cash
C00908,F,29,Credit Card
C00909,M,49,Cash
C00910,M,70,Mobile Payment
C00911,F,47,Credit Card
C00912,F,41,Cash
C00913,F,71,Cash
C00914,F,36,Mobile Payment
C00915,M,49,Mobile Payment
C00916,F,53,Credit Card
C00917,M,28,Mobile Payment
C00918,F,52,Credit Card
C00919,F,20,Credit Card
C00920,F,51,Mobile Payment
C00921,F,37,Credit Card
C00922,M,52,Credit Card
C00923,M,57,Cash
C00924,M,21,Cash
C00925,M,25,Cash
C00926,M,25,Credit Card
C00927,F,36,Mobile Payment
C00928,F,60,Credit Card
C00929,M,53,Credit Card
C00930,F,55,Cash
C00931,M,49,Cash
C00932,M,51,Cash
C00933,M,63,Cash
C00934,M,54,Cash
C00935,M,31,Cash
C00936,F,52,Mobile Payment
C00937,M,63,Credit Card
C00938,M,32,Cash
C00939,F,49,Mobile Payment
C00940,M,51,Cash
C00941,M,22,Cash
C00942,F,51,Credit Card
C00943,M,31,Cash
C00944,F,62,Cash
C00945,F,20,Mobile Payment
C00946,F,62,Credit Card
C00947,F,56,Credit Card
C00948,M,51,Credit Card
C00949,M,68,Credit Card
C00950,F,51,Cash
C00951,M,60,Credit Card
C00952,F,51,Mobile Payment
C00953,F,37,Credit Card
C00954,F,63,Mobile Payment
C00955,M,36,Mobile Payment
C00956,F,28,Mobile Payment
C00957,M,42,Cash
C00958,F,21,Cash
C00959,F,38,Cash
C00960,F,69,Cash
C00961,M,58,Cash
C00962,M,48,Mobile Payment
C00963,M,66,Credit Card
C00964,M,39,Credit Card
C00965,F,40,Cash
C00966,M,60,Credit Card
C00967,M,37,Mobile Payment
C00968,M,37,Credit Card
C00969,F,69,Credit Card
C00970,F,67,Mobile Payment
C00971,M,20,Credit Card
