Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00041,C01334,"P00413,P00389,P00353,P00458,P00385,P00468",04/01/2025,ST
INV00042,C01012,"P00413,P00389,P00353,P00458",25/07/2024,MK
INV00043,C01370,"P00034,P00276,P00464,P00005,P00411",18/08/2025,MK
INV00044,C01175,P00347,25/01/2025,MK
INV00045,C00462,"P00413,P00389,P00353,P00458,P00291",05/10/2024,ST
INV00046,C00161,"P00250,P00218",02/11/2025,CYB
INV00047,C01115,"P00259,P00048",10/01/2024,CYB
INV00048,C00048,"P00090,P00141",05/01/2025,CYB
INV00049,C01322,"P00413,P00389,P00353,P00458,P00186,P00392",22/04/2025,MK
INV00050,C00502,"P00413,P00389,P00353,P00458",11/12/2024,MK
INV00051,C01435,"P00282,P00031,P00310,P00402,P00100",15/02/2025,MK
INV00052,C00172,"P00397,P00249,P00138,P00394",24/01/2025,MK
INV00053,C00934,"P00413,P00389,P00353,P00458,P00279,P00102",24/04/2025,ST
INV00054,C00046,"P00398,P00097,P00125",15/01/2025,CYB
INV00055,C01112,"P00048,P00448,P00437,P00406,P00083",11/08/2024,TKO
INV00056,C00988,"P00413,P00389,P00353,P00458",04/08/2025,MK
INV00057,C01288,P00478,19/01/2024,ST
INV00058,C01401,"P00051,P00328,P00387,P00123",25/11/2024,CYB
INV00059,C00883,"P00500,P00444,P00432,P00017,P00193",06/05/2025,CYB
INV00060,C00138,"P00067,P00292",22/04/2025,MK
INV00061,C00892,"P00017,P00468,P00036",06/02/2024,MK
INV00062,C00121,"P00392,P00446",23/10/2024,ST
INV00063,C00091,"P00247,P00394,P00418",01/01/2024,CYB
INV00064,C01034,"P00483,P00420,P00320,P00437,P00256",30/09/2025,CYB
INV00065,C00487,"P00337,P00015,P00203,P00233",23/08/2024,CYB
INV00066,C00489,"P00413,P00389,P00353,P00458,P00401",14/12/2025,ST
INV00067,C01324,"P00413,P00389,P00353,P00458",04/02/2025,CYB
INV00068,C00117,"P00413,P00389,P00353,P00458",04/04/2025,ST
INV00069,C00133,"P00409,P00303,P00118,P00307,P00434",17/05/2024,CYB
INV00070,C00670,"P00413,P00389,P00353,P00458",25/11/2024,TKO
INV00071,C00121,"P00309,P00132,P00245,P00301",14/02/2025,CYB
INV00072,C01030,"P00413,P00389,P00353,P00458,P00487,P00016",25/09/2025,CYB
INV00073,C00158,"P00479,P00047,P00019,P00127",16/09/2025,MK
INV00074,C00148,P00141,03/04/2024,ST
INV00075,C01203,"P00376,P00003,P00014,P00064,P00353",26/05/2024,TKO
INV00076,C01184,"P00413,P00389,P00353,P00458,P00352",05/08/2025,CYB
INV00077,C01278,"P00222,P00458,P00476,P00013",29/03/2025,CYB
INV00078,C01321,P00157,12/02/2024,CYB
INV00079,C00453,"P00042,P00104,P00351,P00245",02/11/2025,CYB
INV00080,C01317,"P00297,P00035,P00493,P00345",24/09/2025,MK
INV00081,C00293,"P00468,P00256,P00230,P00093",13/03/2024,MK
INV00082,C00218,"P00413,P00389,P00353,P00458,P00285,P00456",16/08/2025,CYB
INV00083,C01000,"P00104,P00174,P00046,P00328",21/04/2024,MK
INV00084,C00087,"P00413,P00389,P00353,P00458",08/12/2024,ST
INV00085,C00585,P00068,30/04/2025,MK
INV00086,C00860,"P00253,P00339,P00069,P00367,P00465",20/05/2025,CYB
INV00087,C00120,P00109,25/07/2025,ST
INV00088,C00159,"P00413,P00389,P00353,P00458,P00014,P00302",21/11/2024,ST
INV00089,C00773,"P00252,P00329,P00125",28/03/2024,MK
INV00090,C01045,"P00413,P00389,P00353,P00458",10/04/2024,MK
INV00091,C01451,P00055,24/09/2024,CYB
INV00092,C01192,"P00413,P00389,P00353,P00458",16/06/2025,CYB
INV00093,C00479,"P00227,P00063,P00495",25/10/2024,ST
INV00094,C01314,"P00413,P00389,P00353,P00458,P00334,P00213",05/03/2025,MK
INV00095,C00203,"P00265,P00225,P00055,P00006,P00049",13/12/2024,CYB
INV00096,C00336,"P00031,P00347,P00330,P00078,P00210",30/07/2024,CYB
INV00097,C00106,"P00504,P00446",15/10/2024,MK
INV00098,C00086,"P00358,P00486,P00374,P00059",25/06/2025,MK
INV00099,C00528,"P00215,P00051,P00255,P00212,P00246",05/05/2024,CYB
INV00100,C00545,"P00446,P00107,P00317",11/08/2025,MK
INV00101,C01168,"P00413,P00389,P00353,P00458,P00094,P00310",06/02/2024,MK
INV00102,C00168,"P00413,P00389,P00353,P00458,P00461",09/03/2025,ST
INV00103,C00937,"P00413,P00389,P00353,P00458,P00455,P00454",10/01/2024,CYB
INV00104,C00383,"P00245,P00258,P00100",25/05/2025,CYB
INV00105,C00523,"P00105,P00176,P00454,P00061,P00088",13/08/2025,TKO
INV00106,C00781,"P00349,P00264",05/10/2024,TKO
INV00107,C00943,"P00452,P00301,P00076,P00105",11/07/2025,TKO
INV00108,C00125,"P00413,P00389,P00353,P00458,P00120",24/12/2024,CYB
INV00109,C01271,"P00413,P00389,P00353,P00458",05/07/2025,MK
INV00110,C01222,"P00401,P00366,P00331,P00208,P00002",31/03/2024,ST
INV00111,C01430,"P00413,P00389,P00353,P00458,P00117,P00383",27/10/2025,MK
INV00112,C00038,"P00399,P00264,P00117,P00241",08/08/2024,TKO
INV00113,C00734,"P00413,P00389,P00353,P00458,P00081",26/01/2024,MK
INV00114,C00333,"P00413,P00389,P00353,P00458",04/01/2024,CYB
INV00115,C01194,"P00323,P00217,P00235,P00106,P00470",24/09/2025,TKO
INV00116,C00522,"P00241,P00074,P00086,P00212",11/01/2025,ST
INV00117,C01247,"P00413,P00389,P00353,P00458,P00199,P00052",21/05/2025,ST
INV00118,C00131,"P00413,P00389,P00353,P00458,P00459,P00268",02/01/2024,CYB
INV00119,C01331,"P00232,P00144,P00120,P00382,P00182",07/03/2025,ST
INV00120,C01280,"P00176,P00264,P00040",20/02/2024,ST
INV00121,C00598,"P00300,P00229,P00189,P00227",10/10/2024,CYB
INV00122,C00914,"P00413,P00389,P00353,P00458,P00147",17/05/2025,TKO
INV00123,C00490,"P00413,P00389,P00353,P00458",19/02/2025,MK
INV00124,C00116,P00101,21/11/2024,MK
INV00125,C00558,"P00413,P00389,P00353,P00458,P00392,P00437",11/08/2025,CYB
INV00126,C01184,"P00042,P00063",18/11/2025,ST
INV00127,C00219,"P00252,P00301,P00147",19/04/2024,MK
INV00128,C00057,"P00458,P00129,P00226",29/02/2024,CYB
INV00129,C01409,P00266,29/08/2024,CYB
INV00130,C00004,"P00477,P00136,P00377,P00429,P00244",20/02/2025,CYB
INV00131,C00769,"P00413,P00389,P00353,P00458,P00410",26/03/2024,TKO
INV00132,C01372,"P00383,P00020,P00115",08/02/2025,CYB
INV00133,C00142,P00101,17/09/2024,MK
INV00134,C01238,"P00413,P00389,P00353,P00458,P00009",03/07/2024,CYB
INV00135,C00025,"P00110,P00256,P00417,P00427",02/06/2025,CYB
INV00136,C00983,"P00413,P00389,P00353,P00458,P00387",05/01/2024,MK
INV00137,C01275,"P00030,P00340,P00095,P00228,P00350",22/09/2024,MK
INV00138,C00973,"P00413,P00389,P00353,P00458,P00004",08/08/2024,ST
INV00139,C00331,P00474,25/08/2024,MK
INV00140,C00946,"P00413,P00389,P00353,P00458",12/03/2025,ST
INV00141,C01431,"P00217,P00363,P00382,P00438,P00062",26/01/2024,MK
INV00142,C00803,P00256,28/09/2024,TKO
INV00143,C00147,"P00413,P00389,P00353,P00458,P00451,P00359",19/05/2024,ST
INV00144,C00492,"P00413,P00389,P00353,P00458,P00446",26/07/2024,MK
INV00145,C00126,"P00005,P00409,P00075",02/09/2025,CYB
INV00146,C00683,"P00358,P00419,P00252,P00429",14/12/2025,ST
INV00147,C00431,"P00413,P00389,P00353,P00458",03/10/2025,MK
INV00148,C01355,"P00221,P00080,P00142,P00131,P00154",21/02/2024,MK
INV00149,C00218,"P00413,P00389,P00353,P00458,P00206",23/11/2024,TKO
INV00150,C00448,"P00435,P00458,P00466,P00026",28/07/2025,TKO
INV00151,C00225,"P00413,P00389,P00353,P00458,P00501",15/03/2025,TKO
INV00152,C01028,"P00139,P00158",25/09/2025,ST
INV00153,C01029,"P00413,P00389,P00353,P00458",16/12/2025,MK
INV00154,C01426,"P00413,P00389,P00353,P00458,P00295",04/08/2024,TKO
INV00155,C00331,"P00413,P00389,P00353,P00458",08/11/2025,TKO
INV00156,C01316,"P00435,P00138,P00352,P00172",09/07/2024,ST
INV00157,C00254,"P00413,P00389,P00353,P00458,P00219",26/10/2025,TKO
INV00158,C01323,"P00449,P00036,P00504",06/04/2024,MK
INV00159,C01079,"P00413,P00389,P00353,P00458,P00204,P00053",22/10/2025,TKO
INV00160,C00229,"P00413,P00389,P00353,P00458,P00499",23/03/2025,MK
INV00161,C01432,"P00413,P00389,P00353,P00458",05/05/2024,ST
INV00162,C00576,"P00413,P00389,P00353,P00458",02/11/2025,CYB
INV00163,C01402,"P00413,P00389,P00353,P00458,P00364",30/08/2025,CYB
INV00164,C00596,"P00413,P00389,P00353,P00458",07/11/2024,TKO
INV00165,C01123,"P00352,P00355,P00167,P00339",18/01/2025,MK
INV00166,C01043,"P00417,P00407,P00076,P00337",21/07/2024,TKO
INV00167,C01395,P00421,20/11/2024,CYB
INV00168,C01161,"P00094,P00060,P00370,P00383",06/02/2024,CYB
INV00169,C00225,"P00019,P00140,P00096",20/10/2024,CYB
INV00170,C00863,"P00413,P00389,P00353,P00458",09/01/2024,MK
INV00171,C01035,"P00413,P00389,P00353,P00458,P00294",06/03/2025,MK
INV00172,C00128,P00087,24/06/2024,MK
INV00173,C00690,"P00316,P00079,P00218",18/05/2024,CYB
INV00174,C00547,"P00440,P00147,P00227,P00026,P00171",26/02/2025,MK
INV00175,C00667,"P00413,P00389,P00353,P00458,P00231",15/02/2025,CYB
INV00176,C01124,"P00413,P00389,P00353,P00458",05/07/2024,MK
INV00177,C01195,"P00028,P00032,P00091,P00483",05/03/2024,CYB
INV00178,C01275,P00123,26/07/2025,TKO
INV00179,C00731,"P00413,P00389,P00353,P00458",27/11/2025,CYB
INV00180,C00014,P00197,03/01/2024,ST
INV00181,C01327,"P00460,P00139",29/08/2025,ST
INV00182,C00571,"P00172,P00115,P00070,P00422",01/07/2025,TKO
INV00183,C00164,"P00261,P00002,P00365,P00227",02/06/2025,ST
INV00184,C01417,"P00413,P00389,P00353,P00458,P00379,P00415",14/04/2025,ST
INV00185,C00071,"P00347,P00344,P00251,P00101,P00284",05/12/2024,TKO
INV00186,C00586,"P00456,P00269,P00503,P00226",02/05/2025,MK
INV00187,C00940,"P00413,P00389,P00353,P00458,P00358,P00157",04/07/2024,MK
INV00188,C01069,"P00413,P00389,P00353,P00458",24/11/2024,MK
INV00189,C00604,"P00413,P00389,P00353,P00458,P00426",13/08/2025,ST
INV00190,C01238,"P00322,P00210",11/09/2024,CYB
INV00191,C01055,P00159,06/12/2025,CYB
INV00192,C00005,"P00438,P00495",24/11/2025,TKO
INV00193,C00268,"P00413,P00389,P00353,P00458,P00291",08/03/2024,MK
INV00194,C01256,P00443,13/04/2025,MK
INV00195,C00303,"P00279,P00002,P00131,P00424,P00064",03/05/2025,ST
INV00196,C01017,P00361,21/02/2024,MK
INV00197,C00143,"P00413,P00389,P00353,P00458",28/01/2025,CYB
INV00198,C00373,"P00449,P00182,P00400,P00268",11/10/2025,TKO
INV00199,C00620,P00310,21/08/2025,MK
INV00200,C01288,P00319,29/03/2024,CYB
INV00201,C00953,"P00413,P00389,P00353,P00458,P00054",17/03/2024,MK
INV00202,C01118,"P00154,P00081,P00025",08/05/2024,TKO
INV00203,C01055,"P00413,P00389,P00353,P00458,P00182,P00415",20/11/2024,ST
INV00204,C00481,P00352,01/09/2024,ST
INV00205,C00320,"P00094,P00387,P00384",03/01/2024,TKO
INV00206,C00442,P00237,19/01/2025,MK
INV00207,C00381,"P00144,P00043",11/12/2024,MK
INV00208,C01251,"P00402,P00496,P00506",30/08/2025,TKO
INV00209,C01428,"P00413,P00389,P00353,P00458,P00492,P00348",18/05/2025,CYB
INV00210,C01052,"P00180,P00234,P00019",12/02/2024,MK
INV00211,C00013,"P00413,P00389,P00353,P00458",21/05/2024,TKO
INV00212,C01202,"P00384,P00257",14/03/2025,MK
INV00213,C01273,P00450,15/02/2024,CYB
INV00214,C00091,"P00413,P00389,P00353,P00458",09/09/2024,CYB
INV00215,C00586,"P00277,P00135,P00017,P00012,P00130",28/10/2024,MK
INV00216,C00762,"P00445,P00063",11/02/2025,CYB
INV00217,C01361,"P00214,P00467,P00204",14/07/2025,MK
INV00218,C00211,"P00395,P00461,P00059",09/11/2024,ST
INV00219,C00158,P00129,25/12/2025,ST
INV00220,C00481,"P00413,P00389,P00353,P00458",15/12/2024,MK
INV00221,C00240,"P00413,P00389,P00353,P00458",21/04/2024,ST
INV00222,C00934,"P00275,P00080,P00216,P00020",26/05/2024,TKO
INV00223,C00097,"P00082,P00166",30/09/2025,TKO
INV00224,C01370,"P00451,P00137",13/01/2025,ST
INV00225,C00028,"P00420,P00399,P00072,P00177",10/04/2024,TKO
INV00226,C01031,"P00413,P00389,P00353,P00458,P00118",26/03/2025,CYB
INV00227,C00656,"P00063,P00057,P00259,P00128,P00293",25/10/2024,ST
INV00228,C01390,P00180,29/05/2024,MK
INV00229,C00617,"P00413,P00389,P00353,P00458",04/01/2024,MK
INV00230,C00637,"P00075,P00366,P00210,P00123,P00339",02/12/2024,CYB
INV00231,C01396,"P00081,P00485,P00179,P00324,P00168",01/11/2024,MK
INV00232,C00854,"P00413,P00389,P00353,P00458,P00348,P00325",04/10/2025,TKO
INV00233,C00919,"P00284,P00344,P00433",26/05/2025,TKO
INV00234,C00042,"P00181,P00296,P00248",03/07/2025,MK
INV00235,C01171,"P00225,P00188,P00197",19/07/2024,ST
INV00236,C00474,"P00413,P00389,P00353,P00458,P00354",22/11/2024,ST
INV00237,C00089,"P00413,P00389,P00353,P00458",20/09/2024,MK
INV00238,C01056,"P00413,P00389,P00353,P00458,P00258",15/06/2025,CYB
INV00239,C01002,"P00413,P00389,P00353,P00458",22/08/2024,MK
INV00240,C00811,"P00413,P00389,P00353,P00458,P00256,P00441",27/12/2024,MK
INV00241,C00512,"P00413,P00389,P00353,P00458",21/01/2024,CYB
INV00242,C00210,"P00343,P00393,P00243",03/07/2024,MK
INV00243,C00945,"P00476,P00228",13/11/2024,MK
INV00244,C01099,"P00413,P00389,P00353,P00458,P00193,P00019",08/03/2024,ST
INV00245,C00151,"P00413,P00389,P00353,P00458,P00164,P00161",30/03/2025,MK
INV00246,C01091,"P00413,P00389,P00353,P00458,P00128,P00350",11/04/2024,TKO
INV00247,C00960,"P00173,P00245",29/08/2024,MK
INV00248,C00690,"P00373,P00448,P00214,P00398,P00436",13/02/2025,CYB
INV00249,C00674,"P00236,P00265,P00168,P00213",25/06/2025,MK
INV00250,C00736,"P00499,P00029",14/02/2024,CYB
INV00251,C01071,"P00413,P00389,P00353,P00458,P00094,P00293",31/08/2024,ST
INV00252,C00220,"P00413,P00389,P00353,P00458,P00109",26/07/2024,ST
INV00253,C00953,"P00413,P00389,P00353,P00458,P00018,P00102",19/10/2024,CYB
INV00254,C01187,"P00073,P00028,P00061,P00026,P00503",25/06/2024,MK
INV00255,C00039,"P00340,P00279,P00082,P00286,P00114",10/09/2024,TKO
INV00256,C01056,"P00476,P00375,P00295",31/03/2025,TKO
INV00257,C00588,"P00413,P00389,P00353,P00458",22/01/2024,ST
INV00258,C01382,P00335,10/12/2025,MK
INV00259,C01057,"P00413,P00389,P00353,P00458,P00024,P00235",17/03/2024,CYB
INV00260,C00367,"P00413,P00389,P00353,P00458,P00078,P00364",05/11/2025,TKO
INV00261,C00006,"P00215,P00299,P00432",04/11/2025,CYB
INV00262,C00208,"P00276,P00042,P00238,P00046,P00215",08/05/2024,ST
INV00263,C01052,"P00097,P00139,P00112,P00419",12/10/2025,TKO
INV00264,C00090,P00262,22/12/2025,MK
INV00265,C01286,"P00286,P00385,P00068",09/08/2025,MK
INV00266,C00683,"P00275,P00265,P00105,P00037,P00129",26/08/2024,MK
INV00267,C00578,P00345,28/01/2024,MK
INV00268,C01106,"P00255,P00410,P00104,P00478",09/12/2024,MK
INV00269,C00454,P00160,11/03/2025,ST
INV00270,C00202,"P00319,P00013,P00009,P00092,P00072",21/04/2025,TKO
INV00271,C00043,P00056,11/09/2025,CYB
INV00272,C01118,"P00413,P00389,P00353,P00458",04/09/2024,TKO
INV00273,C01046,"P00345,P00158,P00433,P00265,P00071",08/07/2025,MK
INV00274,C00559,"P00135,P00186,P00450",02/01/2024,MK
INV00275,C00776,"P00435,P00163,P00372,P00109",11/12/2024,CYB
INV00276,C01257,"P00413,P00389,P00353,P00458",25/05/2025,CYB
INV00277,C00242,"P00216,P00135,P00227,P00081",27/04/2025,TKO
INV00278,C00360,"P00129,P00355,P00368,P00375,P00454",09/10/2025,MK
INV00279,C00611,"P00155,P00274",09/10/2024,ST
INV00280,C00349,"P00413,P00389,P00353,P00458,P00104,P00380",26/01/2024,MK
INV00281,C00515,"P00413,P00389,P00353,P00458",14/03/2025,TKO
INV00282,C00052,"P00414,P00118,P00305,P00205,P00470",06/01/2025,MK
INV00283,C01241,"P00232,P00063,P00420,P00311,P00099",31/07/2025,CYB
INV00284,C00943,"P00413,P00389,P00353,P00458,P00228",24/04/2024,MK
INV00285,C00423,"P00023,P00126",29/12/2025,ST
INV00286,C01229,P00178,18/09/2025,CYB
INV00287,C00245,"P00413,P00389,P00353,P00458,P00322",13/05/2024,MK
INV00288,C01178,"P00413,P00389,P00353,P00458,P00321,P00011",03/12/2025,MK
INV00289,C00313,"P00209,P00503,P00288",03/02/2025,TKO
INV00290,C00409,"P00413,P00389,P00353,P00458",03/10/2024,MK
INV00291,C00964,P00209,26/12/2025,MK
INV00292,C00865,"P00048,P00292",14/12/2024,MK
INV00293,C01242,"P00376,P00452,P00354,P00369",21/03/2024,MK
INV00294,C00575,"P00341,P00079,P00113,P00138",14/03/2024,MK
INV00295,C01419,"P00475,P00139,P00353,P00274",15/07/2024,ST
INV00296,C00492,"P00502,P00346,P00359,P00415,P00350",27/03/2025,CYB
INV00297,C01123,"P00413,P00389,P00353,P00458",15/04/2024,MK
INV00298,C00042,"P00413,P00389,P00353,P00458",22/01/2024,TKO
INV00299,C00562,"P00222,P00214,P00339,P00025,P00474",29/09/2024,MK
INV00300,C01322,"P00413,P00389,P00353,P00458,P00188",22/03/2025,MK
INV00301,C00270,"P00413,P00389,P00353,P00458,P00491,P00116",16/12/2025,MK
INV00302,C00672,P00298,12/08/2025,MK
INV00303,C00966,"P00413,P00389,P00353,P00458,P00019,P00053",13/08/2024,CYB
INV00304,C00967,"P00365,P00153,P00450,P00206,P00369",20/10/2024,ST
INV00305,C00956,"P00446,P00020,P00436",26/05/2025,CYB
INV00306,C00078,"P00050,P00311,P00105,P00339",11/03/2025,TKO
INV00307,C01086,"P00195,P00498,P00081,P00012,P00265",15/09/2025,MK
INV00308,C00720,"P00085,P00489,P00221,P00389",24/04/2024,ST
INV00309,C01288,"P00081,P00371,P00086,P00079",12/02/2024,MK
INV00310,C00715,P00006,17/11/2024,TKO
INV00311,C00307,"P00389,P00122",09/01/2024,MK
INV00312,C01141,"P00360,P00047,P00019,P00185",29/03/2024,MK
INV00313,C01313,"P00412,P00312,P00391,P00022",20/06/2025,TKO
INV00314,C00259,"P00146,P00495,P00384,P00115",08/07/2025,CYB
INV00315,C00503,"P00241,P00091",15/11/2025,MK
INV00316,C00125,"P00413,P00389,P00353,P00458,P00234,P00271",28/12/2025,MK
INV00317,C00569,"P00413,P00389,P00353,P00458",06/06/2025,TKO
INV00318,C00415,"P00117,P00227,P00435",23/05/2025,MK
INV00319,C00026,"P00069,P00287,P00414,P00462",23/07/2024,TKO
INV00320,C00827,P00243,24/04/2025,CYB
INV00321,C00034,"P00114,P00025,P00251,P00486,P00306",10/12/2024,MK
INV00322,C00726,"P00136,P00493,P00025,P00284,P00390",04/10/2025,CYB
INV00323,C01116,"P00467,P00141,P00193",06/07/2025,CYB
INV00324,C00131,"P00071,P00128",01/11/2024,MK
INV00325,C00894,"P00413,P00389,P00353,P00458,P00287,P00441",17/10/2025,ST
INV00326,C00222,"P00413,P00389,P00353,P00458,P00383,P00023",01/04/2025,TKO
INV00327,C00931,"P00367,P00350",06/07/2025,MK
INV00328,C01269,"P00139,P00345,P00475",04/12/2024,MK
INV00329,C00020,"P00413,P00389,P00353,P00458,P00185,P00492",22/02/2024,CYB
INV00330,C00554,"P00087,P00147,P00482,P00203",14/01/2025,CYB
INV00331,C00881,"P00413,P00389,P00353,P00458,P00489,P00457",12/11/2025,TKO
INV00332,C00965,"P00398,P00044,P00020,P00210,P00242",28/07/2025,TKO
INV00333,C00348,"P00105,P00286,P00004",18/08/2025,ST
INV00334,C01370,"P00198,P00255,P00014,P00230,P00275",05/04/2024,MK
INV00335,C00023,"P00503,P00427,P00249",30/04/2024,ST
INV00336,C00415,"P00413,P00389,P00353,P00458",01/03/2024,CYB
INV00337,C00872,"P00244,P00255,P00126,P00095",12/02/2025,ST
INV00338,C00074,"P00058,P00308,P00397,P00502",08/05/2024,MK
INV00339,C00168,"P00457,P00026",17/01/2025,CYB
INV00340,C00437,"P00323,P00431,P00048",27/03/2025,ST
INV00341,C00690,P00127,17/12/2024,ST
INV00342,C00091,"P00224,P00132",26/08/2025,MK
INV00343,C01255,"P00413,P00389,P00353,P00458,P00098",02/10/2025,MK
INV00344,C00327,"P00031,P00078",30/07/2025,ST
INV00345,C00043,"P00413,P00389,P00353,P00458",24/05/2025,ST
INV00346,C00708,"P00202,P00007,P00347,P00413",02/08/2024,TKO
INV00347,C00960,"P00413,P00389,P00353,P00458,P00254",15/09/2025,TKO
INV00348,C00411,"P00053,P00415,P00506,P00461,P00029",02/04/2024,MK
INV00349,C01198,"P00413,P00389,P00353,P00458",06/01/2025,TKO
INV00350,C00312,"P00086,P00269",27/06/2025,TKO
INV00351,C00971,"P00448,P00449,P00160,P00473,P00041",21/06/2025,MK
INV00352,C00156,"P00413,P00389,P00353,P00458",09/04/2025,MK
INV00353,C00696,"P00413,P00389,P00353,P00458",14/06/2025,TKO
INV00354,C00656,P00394,20/06/2025,CYB
INV00355,C01108,"P00261,P00006",12/08/2025,MK
INV00356,C01297,P00351,02/03/2024,CYB
INV00357,C00702,"P00167,P00201",05/06/2025,TKO
INV00358,C01084,"P00429,P00196,P00331",11/11/2024,MK
INV00359,C01106,"P00158,P00118,P00389,P00498",07/11/2024,CYB
INV00360,C00810,"P00413,P00389,P00353,P00458,P00448",06/10/2025,TKO
INV00361,C00254,"P00351,P00375,P00235,P00325",21/09/2025,CYB
INV00362,C00501,P00086,06/08/2024,CYB
INV00363,C01456,"P00178,P00426,P00024",17/07/2024,CYB
INV00364,C01261,"P00339,P00055,P00431,P00363,P00479",17/03/2025,TKO
INV00365,C00577,"P00413,P00389,P00353,P00458,P00216",25/01/2025,MK
INV00366,C00990,"P00025,P00202,P00449",11/09/2024,CYB
INV00367,C00398,"P00277,P00369,P00134,P00216",20/11/2024,MK
INV00368,C01126,"P00413,P00389,P00353,P00458",31/12/2025,CYB
INV00369,C00044,P00391,16/07/2024,TKO
INV00370,C01421,P00369,14/08/2024,MK
INV00371,C00307,"P00067,P00326,P00059",29/05/2024,MK
INV00372,C00270,"P00054,P00371,P00254",04/12/2025,TKO
INV00373,C00867,"P00413,P00389,P00353,P00458",04/08/2025,MK
INV00374,C00315,"P00343,P00373,P00155",01/08/2024,ST
INV00375,C00856,"P00281,P00161,P00376",13/11/2025,MK
INV00376,C00169,"P00072,P00087,P00441,P00208,P00003",23/02/2025,MK
INV00377,C00423,P00001,15/08/2024,CYB
INV00378,C00216,"P00271,P00061,P00211",08/12/2025,ST
INV00379,C00732,"P00413,P00389,P00353,P00458,P00014",16/03/2025,TKO
INV00380,C01279,"P00413,P00389,P00353,P00458,P00207",14/07/2024,CYB
INV00381,C00535,"P00100,P00409,P00293",01/04/2025,MK
INV00382,C00836,"P00413,P00389,P00353,P00458,P00068,P00101",28/07/2025,CYB
INV00383,C00689,"P00058,P00442,P00327,P00485,P00450",07/11/2024,MK
INV00384,C00053,"P00087,P00503,P00398,P00203",29/05/2025,TKO
INV00385,C01071,"P00136,P00289,P00294,P00426",14/03/2024,CYB
INV00386,C00230,"P00352,P00151,P00080,P00338,P00328",24/01/2025,MK
INV00387,C00610,"P00413,P00389,P00353,P00458",17/12/2025,TKO
INV00388,C00708,"P00105,P00372",30/10/2025,CYB
INV00389,C00133,"P00244,P00361,P00418",13/06/2024,CYB
INV00390,C01232,"P00413,P00389,P00353,P00458,P00028,P00432",25/12/2024,ST
INV00391,C01317,"P00033,P00393",24/08/2025,TKO
INV00392,C00895,"P00413,P00389,P00353,P00458,P00397,P00314",11/10/2025,MK
INV00393,C00906,"P00413,P00389,P00353,P00458,P00368,P00120",13/12/2025,ST
INV00394,C00521,"P00496,P00463,P00327,P00135",04/12/2024,CYB
